referee_id,name,source_lots,raw_rows,unique_event_rows,duplicates_removed
789780,Raimundo Rodrigues de Oliveira Junior,480|FINAL,2,2,0
789781,Charly Wendy Straub Deretti,120,7,7,0
789783,Daiane Caroline Muniz Dos Santos,120,9,9,0
789807,Daniel Zamora,120,17,17,0
789811,Brendan Roffet,120,18,18,0
789822,Richard Eley,480|FINAL,27,27,0
789824,Melih Aldemir,480|FINAL,13,13,0
789825,Anthony Letellier,120,13,13,0
789836,Bert Verbeke,120,31,31,0
789860,Gabriel Mihuleac,240,9,9,0
790438,Bruno Amiconi,120,17,17,0
790504,Felipe Viola,240,11,11,0
790525,Frederik Svendsen,240,15,15,0
790549,Yusuf Adnan Kendirciler,FINAL,9,9,0
790560,Isaac Searle,240,8,8,0
790561,Elliott Swallow,240,11,11,0
790563,Ross Martin,480|FINAL,13,13,0
790581,Vitor Lopes,FINAL,12,12,0
790590,Jamie O'Connor,360,9,9,0
790596,Luis Bestard Servera,360,24,24,0
790603,Harry Wager,240,10,10,0
790610,Oguzhan Gokcen,480|FINAL,9,9,0
790616,Diogo Teixeira Araujo,240,10,10,0
790619,Alonso De Ena Wolf,120,21,21,0
790633,Harrison Blair,240,6,6,0
790636,George Laflin,240,2,2,0
790638,Lewis Sandoe,360,4,4,0
790653,Joshua Kuipers,360,19,19,0
790674,Niclas Karlsson,480|FINAL,2,2,0
790689,Emily Heaslip,240,4,4,0
790767,Andre Luis Skettino Policarpo Bento,120,15,15,0
790829,Junior Rivera,360,4,4,0
790834,Walter Guadalupe,FINAL,7,7,0
790843,Rudy Mendez,480|FINAL,4,4,0
790917,Kleber Ariel Goncalves Silva,360,4,4,0
790933,Pierry Dias dos Santos,480|FINAL,3,3,0
790939,Alvaro Caranza,120,5,5,0
790949,Melek Dakan,480|FINAL,4,4,0
790950,Gonzalo Pereira,240,1,1,0
790998,Hatice Aydin,240,1,1,0
791024,Rodrigo Albuquerque,480|FINAL,2,2,0
791188,Jose Carlos Silva Campos Rodrigues,360,1,1,0
791288,Soulaimane Chamel,FINAL,1,1,0
