ID_Jugador,Jugador,Foto_URL,Pais,Fecha_Nacimiento,Posicion,Altura,Pie,Valor_Mercado
47435,Martín Cauteruccio,https://api.sofascore.com/api/v1/player/47435/image,Uruguay,,F,179,,
47443,Sebastián Coates,https://api.sofascore.com/api/v1/player/47443/image,Uruguay,,D,196,,
47447,Christian Cueva,https://api.sofascore.com/api/v1/player/47447/image,Peru,22/11/1991,M,169,Right,120000
47452,Carlos Lampe,https://api.sofascore.com/api/v1/player/47452/image,Bolivia,,G,192,,
47466,Marvin Bejarano,https://api.sofascore.com/api/v1/player/47466/image,Bolivia,,D,168,,
47510,Danny Andrew,https://api.sofascore.com/api/v1/player/47510/image,England,,D,180,,
47549,Sébastien Corchia,https://api.sofascore.com/api/v1/player/47549/image,France,,D,176,,
47604,Cristiano Pereira,https://api.sofascore.com/api/v1/player/47604/image,Portugal,,G,191,,
47658,Miller Bolaños,https://api.sofascore.com/api/v1/player/47658/image,Ecuador,,F,169,,
47753,Bryan Linssen,https://api.sofascore.com/api/v1/player/47753/image,Netherlands,07/10/1990,F,170,Right,290000
48240,Yuya Osako,https://api.sofascore.com/api/v1/player/48240/image,Japan,,F,182,,
48243,Genki Haraguchi,https://api.sofascore.com/api/v1/player/48243/image,Japan,,M,177,,
48345,Kyohei Noborizato,https://api.sofascore.com/api/v1/player/48345/image,Japan,,D,168,,
48411,Gotoku Sakai,https://api.sofascore.com/api/v1/player/48411/image,Japan,,D,176,,
48425,Taishi Taguchi,https://api.sofascore.com/api/v1/player/48425/image,Japan,,M,176,,
48437,Takashi Usami,https://api.sofascore.com/api/v1/player/48437/image,Japan,,M,178,,
48445,Adriano Grimaldi,https://api.sofascore.com/api/v1/player/48445/image,Germany,04/04/1991,F,188,Both,340000
48472,Maxi Moralez,https://api.sofascore.com/api/v1/player/48472/image,Argentina,26/02/1987,M,159,Right,110000
48480,Pascal Groß,https://api.sofascore.com/api/v1/player/48480/image,Germany,14/06/1991,M,181,Right,2300000
48535,Anthony Lopes,https://api.sofascore.com/api/v1/player/48535/image,Portugal,,G,184,,
48547,Abel Hernández,https://api.sofascore.com/api/v1/player/48547/image,Uruguay,,F,185,,
48555,Sebastian Jung,https://api.sofascore.com/api/v1/player/48555/image,Germany,,D,179,,
48557,Christopher Trimmel,https://api.sofascore.com/api/v1/player/48557/image,Austria,23/02/1987,M,189,Right,555000
48716,Ruben Gabrielsen,https://api.sofascore.com/api/v1/player/48716/image,Norway,,D,187,,
48896,Omar Gonzalez,https://api.sofascore.com/api/v1/player/48896/image,USA,,D,196,,
48912,Stefan Schwab,https://api.sofascore.com/api/v1/player/48912/image,Austria,26/09/1990,M,183,Left,320000
49190,Mikael Dyrestam,https://api.sofascore.com/api/v1/player/49190/image,Guinea,,D,185,,
49406,Artur Ioniță,https://api.sofascore.com/api/v1/player/49406/image,Moldova,16/08/1990,M,185,Left,190000
49585,Attila Fiola,https://api.sofascore.com/api/v1/player/49585/image,Hungary,,D,182,,
49647,Ashley Westwood,https://api.sofascore.com/api/v1/player/49647/image,England,31/03/1990,M,175,Right,330000
49855,Alejandro Bedoya,https://api.sofascore.com/api/v1/player/49855/image,USA,,M,178,,
49866,Niklas Hult,https://api.sofascore.com/api/v1/player/49866/image,Sweden,,D,173,,
50070,Alexandre Lacazette,https://api.sofascore.com/api/v1/player/50070/image,France,,F,176,,
50126,Markus Pink,https://api.sofascore.com/api/v1/player/50126/image,Austria,,F,188,,
50130,Federico Macheda,https://api.sofascore.com/api/v1/player/50130/image,Italy,21/08/1991,F,184,Right,145000
50215,Thomas Lehne Olsen,https://api.sofascore.com/api/v1/player/50215/image,Norway,28/06/1991,F,186,Right,350000
50302,Miroslav Stevanović,https://api.sofascore.com/api/v1/player/50302/image,Bosnia & Herzegovina,28/07/1990,M,180,Right,260000
50350,Daniel Sundgren,https://api.sofascore.com/api/v1/player/50350/image,Sweden,,D,176,,
50361,David Fällman,https://api.sofascore.com/api/v1/player/50361/image,Sweden,,D,187,,
50412,Tom Pettersson,https://api.sofascore.com/api/v1/player/50412/image,Sweden,,D,187,,
50480,Chris Wood,https://api.sofascore.com/api/v1/player/50480/image,New Zealand,06/12/1991,F,191,Right,5200000
50490,Wojciech Szczęsny,https://api.sofascore.com/api/v1/player/50490/image,Poland,17/04/1990,G,196,Right,730000
50502,Jan Chramosta,https://api.sofascore.com/api/v1/player/50502/image,Czechia,,F,180,,
50968,Terrence Boyd,https://api.sofascore.com/api/v1/player/50968/image,USA,,F,185,,
51125,Mladen Matković,https://api.sofascore.com/api/v1/player/51125/image,Croatia,,G,187,,
51178,Matej Delač,https://api.sofascore.com/api/v1/player/51178/image,Croatia,,G,190,,
51225,Domagoj Vida,https://api.sofascore.com/api/v1/player/51225/image,Croatia,28/04/1989,D,184,Right,485000
51233,Domagoj Pušić,https://api.sofascore.com/api/v1/player/51233/image,Croatia,,M,189,,
51326,Vedran Celjak,https://api.sofascore.com/api/v1/player/51326/image,Croatia,,D,187,,
51446,Ahmed Kashi,https://api.sofascore.com/api/v1/player/51446/image,Algeria,,M,178,,
51473,Mamadou Samassa,https://api.sofascore.com/api/v1/player/51473/image,Mali,15/02/1990,G,191,Right,165000
51498,Pierre-Emerick Aubameyang,https://api.sofascore.com/api/v1/player/51498/image,Gabon,17/06/1989,F,187,Right,2400000
51534,Nico Siegrist,https://api.sofascore.com/api/v1/player/51534/image,Switzerland,,F,180,,
51651,Paul Delecroix,https://api.sofascore.com/api/v1/player/51651/image,France,,G,184,,
51652,Steven​ N'Zonzi,https://api.sofascore.com/api/v1/player/51652/image,France,14/12/1988,M,196,Right,315000
51665,Benjamin André,https://api.sofascore.com/api/v1/player/51665/image,France,02/08/1990,M,180,Right,3100000
