referee_id,name,country,match_count,last_match_date,first_match_date,avg_yellow_cards,avg_red_cards,avg_booking_points,avg_fouls_total,avg_first_card_minute,avg_cards_1h,avg_cards_2h,avg_cards_et,competition_ids,competition_names,search_key,source_lots
69579,Istvan Kovacs,Romania,50,2026-08-22,2023-07-15,4.48,0.24,49.6,24.14,34.14,1.42,3.28,0.02,152,Liga I,istvan kovacs,240
92314,Iulian Calin,Romania,50,2026-08-08,2022-01-28,4.5,0.3,51.0,23.38,31.84,1.44,3.36,0.0,152,Liga I,iulian calin,360
785861,Jacob A. Sundberg,Denmark,50,2026-08-16,2022-05-12,3.96,0.12,42.0,22.46,38.04,1.22,2.86,0.0,39,Danish Superliga,jacob a sundberg,360
788305,Jacob Karlsen,Denmark,50,2026-08-30,2022-08-01,3.34,0.12,35.8,20.36,43.47,1.02,2.44,0.0,39,Danish Superliga,jacob karlsen,360
786987,Jacob Miles,England,50,2026-05-02,2024-01-01,4.2,0.2,46.0,23.14,35.46,1.28,3.12,0.0,18|24|25,Championship|League One|League Two,jacob miles,360
786860,Jair Antonio Maruffo,USA,50,2026-08-22,2021-09-25,3.3,0.12,35.4,21.3,34.31,1.22,2.2,0.0,242,MLS,jair antonio maruffo,360
66473,Jakob Kehlet,Denmark,50,2026-08-16,2022-08-08,3.18,0.16,35.0,20.0,42.56,0.92,2.42,0.0,39,Danish Superliga,jakob kehlet,360
788015,Jakob Semler,Austria,30,2026-08-15,2023-10-07,3.8,0.1,40.0,25.7,33.55,1.4,2.5,0.0,45,Austrian Bundesliga,jakob semler,360
787405,James Bell,England,50,2026-08-29,2024-03-12,3.9,0.12,41.4,22.12,33.86,1.42,2.54,0.06,18|24|25,Championship|League One|League Two,james bell,360
786896,James Oldham,England,50,2026-05-02,2022-10-25,4.1,0.1,43.0,23.42,29.04,1.48,2.72,0.0,24|25,League One|League Two,james oldham,360
790590,Jamie O'Connor,England,9,2026-08-15,2025-08-16,4.67,0.0,46.67,21.0,46.22,0.89,3.78,0.0,24|25,League One|League Two,jamie o connor,360
586036,Jan Boterberg,Belgium,50,2026-08-22,2024-02-10,3.58,0.12,38.2,21.4,38.43,1.24,2.46,0.0,38,Belgian Pro League,jan boterberg,360
786889,Jannick van der Laan,Netherlands,50,2026-08-30,2024-04-20,3.64,0.08,38.0,22.86,34.31,1.06,2.66,0.0,37|131,Eerste Divisie|Eredivisie,jannick van der laan,360
787892,Jarno Wienefeld,Germany,12,2026-08-30,2025-08-22,4.92,0.17,52.5,25.75,30.09,1.75,3.33,0.0,44,2. Bundesliga,jarno wienefeld,360
138289,Jarred Gillett,Australia,50,2026-08-23,2024-03-30,3.76,0.02,38.0,21.06,35.12,1.4,2.38,0.0,17|18,Championship|Premier League,jarred gillett,360
787255,Jasper Vergoote,Belgium,50,2026-08-22,2024-02-16,3.3,0.3,39.0,21.3,40.44,1.12,2.48,0.0,38,Belgian Pro League,jasper vergoote,360
86938,Jens Maae,Denmark,50,2026-08-23,2022-07-18,3.7,0.12,39.4,23.5,43.1,0.94,2.88,0.0,39,Danish Superliga,jens maae,360
786469,Jeremie Pignard,France,50,2026-08-23,2023-03-12,4.14,0.32,47.8,22.18,30.7,1.9,2.56,0.0,34|182,Ligue 1|Ligue 2,jeremie pignard,360
785348,Jeremy Stinat,France,50,2026-08-30,2023-10-22,3.88,0.28,44.4,23.34,29.06,1.56,2.6,0.0,34|182,Ligue 1|Ligue 2,jeremy stinat,360
130151,Jeroen Manschot,Netherlands,50,2026-08-22,2024-09-21,3.34,0.12,35.8,20.22,35.58,1.26,2.2,0.0,37|131,Eerste Divisie|Eredivisie,jeroen manschot,360
157707,Jérôme Brisard,France,50,2026-08-29,2023-04-30,4.48,0.36,52.0,24.41,28.58,1.52,3.28,0.04,34|182|185,Ligue 1|Ligue 2|Super League Greece,jerome brisard,360
